- , Model T, Stanley Steamer, accelerator, air bag, airplane, airship, ambulance, auto accessory, automobile, automobile engine, automobile horn, baggage car, beach wagon, buffer, building, bumper, bus, cab, cabin car, cable car, cable railway, car, car door, car mirror, car seat, car window, carriage, club car, cockpit, compact, compartment, convertible, coupe, covering, cruiser, device, electric, elevator, fender, first gear, floorboard, framework, freight car, fuel system, gas guzzler, gasoline engine, gear, glove compartment, grille, guard's van, handcar, hardtop, hatchback, high gear, hood, horseless carriage, hot rod, internal-combustion engine, jeep, limousine, loaner, locomotive, luggage compartment, mail car, minicab, minicar, minivan, motor vehicle, opening, pace car, passenger car, passenger van, pedal, protective covering, racer, rear window, reverse, roadster, roof, running board, sedan, self-propelled vehicle, slip coach, sport utility, sports car, stabilizer, stabilizer bar, stock car, subcompact, sunroof, suspension, tail fin, tender, third gear, touring car, truck, used-car, van, wheeled vehicle, window
fuel system, 1.675682, 1.845042, 0.669413, 1.861787, 1.223595, 1.777776, 1.675682, 1.861787, 1.392955, 1.861787, 1.861787, 1.675682, 1.675682, 1.861787, 2.246609, 1.845042, 1.675682, 1.392955, 1.675682, 2.239077, 1.777776, 1.223595, 1.861787, 1.861787, 1.861787, 1.861787, 1.956349, 1.905138, 2.239077, 1.675682, 1.786989, 1.675682, 1.675682, 2.408437, 1.675682, 2.425182, 1.675682, 1.777776, 1.861787, 1.861787, 1.861787, 2.255822, 1.905138, 0.000000, 1.675682, 1.861787, 2.425182, 1.861787, 1.861787, 1.675682, 1.675682, 1.675682, 1.675682, 1.861787, 1.861787, 1.675682, 1.675682, 1.192374, 1.675682, 1.675682, 1.675682, 2.415969, 1.861787, 1.675682, 1.845042, 1.675682, 1.675682, 0.723542, 2.255822, 1.675682, 1.675682, 2.127770, 1.192374, 2.408437, 1.845042, 1.861787, 1.861787, 1.845042, 1.845042, 1.861787, 1.845042, 1.286936, 1.675682, 1.845042, 1.845042, 2.408437, 1.845042, 1.845042, 1.845042, 1.861787, 1.392955, 1.861787, 1.675682, 1.861787, 1.845042, 1.175629, 1.845042, 1.675682, 1.786989, 1.692427
gas guzzler, 1.199127, 1.199127, 1.215871, 1.215871, 1.770053, 1.301221, 1.199127, 1.215871, 0.747039, 1.215871, 1.215871, 1.199127, 1.199127, 1.215871, 1.770053, 1.215871, 1.199127, 1.199127, 1.199127, 1.762521, 1.301221, 0.747039, 1.215871, 1.215871, 1.215871, 1.215871, 1.762521, 1.428582, 1.667959, 1.199127, 1.310433, 1.199127, 1.199127, 1.779266, 1.199127, 1.779266, 1.199127, 1.301221, 1.215871, 1.215871, 1.215871, 1.779266, 1.428582, 1.770053, 0.000000, 1.215871, 1.779266, 1.215871, 1.215871, 1.199127, 1.199127, 1.199127, 1.199127, 1.215871, 1.215871, 1.199127, 1.199127, 1.779266, 1.199127, 1.199127, 1.199127, 1.770053, 1.215871, 1.199127, 1.651214, 1.199127, 1.199127, 1.310433, 1.779266, 1.199127, 1.199127, 1.651214, 1.779266, 1.779266, 1.199127, 1.215871, 1.215871, 1.199127, 1.215871, 1.215871, 1.199127, 1.762521, 1.199127, 1.199127, 1.199127, 1.779266, 1.215871, 1.199127, 1.199127, 1.215871, 1.215871, 1.215871, 1.199127, 1.215871, 1.199127, 1.762521, 1.199127, 1.199127, 1.310433, 1.215871
gasoline engine, 1.006269, 1.175629, 1.192374, 1.192374, 1.746556, 1.108363, 1.006269, 1.192374, 0.723542, 1.192374, 1.192374, 1.006269, 1.006269, 1.192374, 1.577196, 1.192374, 1.006269, 1.006269, 1.006269, 1.569664, 1.108363, 0.554182, 1.192374, 1.192374, 1.192374, 1.192374, 1.569664, 1.235725, 1.569664, 1.006269, 1.117576, 1.006269, 1.006269, 1.755768, 1.006269, 1.755768, 1.006269, 1.108363, 1.192374, 1.192374, 1.192374, 1.586408, 1.235725, 1.586408, 1.006269, 0.000000, 1.755768, 1.192374, 1.192374, 1.006269, 1.006269, 1.006269, 1.006269, 1.192374, 1.192374, 1.006269, 1.006269, 0.563394, 1.006269, 1.006269, 1.006269, 1.746556, 1.192374, 1.006269, 1.458357, 1.006269, 1.006269, 1.117576, 1.586408, 1.006269, 1.006269, 1.458357, 1.586408, 1.755768, 1.175629, 1.192374, 1.192374, 1.175629, 1.192374, 1.192374, 1.175629, 1.569664, 1.006269, 1.175629, 1.175629, 1.755768, 1.192374, 1.175629, 1.175629, 1.192374, 1.023014, 1.192374, 1.006269, 1.192374, 1.175629, 1.569664, 1.175629, 1.006269, 1.117576, 1.023014
gear, 1.687812, 1.857173, 1.873917, 1.873917, 2.428099, 1.789907, 1.687812, 1.873917, 1.405085, 1.873917, 1.873917, 1.687812, 1.687812, 1.873917, 2.258739, 1.873917, 1.687812, 1.687812, 1.687812, 2.251207, 1.789907, 1.235725, 1.873917, 1.873917, 1.873917, 1.873917, 2.251207, 1.917268, 2.251207, 1.687812, 1.799119, 1.687812, 1.687812, 2.437312, 1.687812, 2.437312, 1.687812, 1.789907, 1.873917, 0.681543, 1.873917, 2.267952, 1.917268, 2.267952, 1.687812, 1.873917, 0.000000, 1.873917, 1.873917, 1.687812, 1.687812, 1.687812, 1.687812, 0.681543, 1.873917, 1.687812, 1.687812, 2.267952, 1.687812, 1.687812, 1.687812, 2.428099, 1.873917, 1.687812, 2.139900, 1.687812, 1.687812, 1.799119, 2.267952, 1.687812, 1.687812, 2.139900, 2.267952, 2.437312, 1.857173, 1.873917, 0.681543, 1.857173, 1.873917, 1.873917, 1.857173, 2.251207, 1.687812, 1.857173, 1.857173, 2.437312, 1.873917, 1.857173, 1.857173, 1.873917, 1.704557, 1.873917, 1.687812, 0.681543, 1.857173, 2.251207, 1.857173, 1.687812, 1.799119, 1.704557
glove compartment, 1.006269, 1.175629, 1.192374, 1.192374, 1.746556, 1.108363, 1.006269, 1.192374, 0.723542, 1.192374, 1.192374, 1.006269, 1.006269, 1.192374, 1.577196, 1.192374, 1.006269, 1.006269, 1.006269, 1.015482, 1.108363, 0.554182, 1.192374, 1.192374, 1.192374, 1.192374, 1.569664, 1.235725, 1.015482, 1.006269, 0.563394, 1.006269, 1.006269, 1.755768, 1.006269, 1.755768, 1.006269, 1.108363, 1.192374, 1.192374, 1.192374, 1.586408, 1.235725, 1.586408, 1.006269, 1.192374, 1.755768, 0.000000, 1.192374, 1.006269, 1.006269, 1.006269, 1.006269, 1.192374, 1.192374, 1.006269, 1.006269, 1.586408, 1.006269, 1.006269, 1.006269, 1.746556, 1.192374, 1.006269, 1.458357, 1.006269, 1.006269, 1.117576, 1.586408, 1.006269, 1.006269, 1.458357, 1.586408, 1.755768, 1.175629, 1.192374, 1.192374, 1.175629, 1.192374, 1.192374, 1.175629, 1.569664, 1.006269, 1.175629, 1.175629, 1.755768, 1.192374, 1.175629, 1.175629, 1.192374, 1.023014, 1.192374, 1.006269, 1.192374, 1.175629, 1.569664, 1.175629, 1.006269, 1.117576, 1.023014
grille, 1.006269, 1.175629, 1.192374, 1.192374, 1.746556, 1.108363, 1.006269, 1.192374, 0.723542, 1.192374, 1.192374, 1.006269, 1.006269, 1.192374, 1.577196, 1.192374, 1.006269, 1.006269, 1.006269, 1.569664, 1.108363, 0.554182, 1.192374, 1.192374, 1.192374, 1.192374, 1.569664, 1.235725, 1.569664, 1.006269, 1.117576, 1.006269, 1.006269, 1.755768, 1.006269, 1.755768, 1.006269, 1.108363, 1.192374, 1.192374, 1.192374, 0.563394, 1.235725, 1.586408, 1.006269, 1.192374, 1.755768, 1.192374, 0.000000, 1.006269, 1.006269, 1.006269, 1.006269, 1.192374, 1.192374, 1.006269, 1.006269, 1.586408, 1.006269, 1.006269, 1.006269, 1.746556, 1.192374, 1.006269, 1.458357, 1.006269, 1.006269, 1.117576, 0.563394, 1.006269, 1.006269, 1.458357, 1.586408, 1.755768, 1.175629, 1.192374, 1.192374, 1.175629, 1.192374, 1.192374, 1.175629, 1.569664, 1.006269, 1.175629, 1.175629, 1.755768, 1.192374, 1.175629, 1.175629, 1.192374, 1.023014, 1.192374, 1.006269, 1.192374, 1.175629, 1.569664, 1.175629, 1.006269, 1.117576, 1.023014
guard's van, 1.199127, 1.428582, 1.416452, 1.416452, 1.970634, 1.301221, 1.199127, 1.416452, 1.939413, 1.416452, 1.416452, 1.199127, 1.199127, 1.416452, 1.770053, 1.416452, 1.199127, 1.199127, 1.199127, 1.762521, 1.301221, 0.747039, 1.416452, 1.416452, 1.416452, 1.416452, 1.762521, 1.428582, 1.762521, 1.199127, 1.310433, 1.199127, 1.199127, 1.979847, 1.199127, 1.979847, 1.199127, 1.301221, 1.416452, 1.416452, 1.416452, 1.779266, 1.428582, 1.779266, 1.199127, 1.416452, 1.979847, 1.416452, 1.416452, 0.000000, 1.199127, 1.199127, 1.199127, 1.416452, 1.416452, 1.199127, 1.199127, 1.779266, 1.199127, 1.199127, 1.199127, 1.970634, 1.416452, 1.199127, 1.651214, 1.199127, 1.199127, 1.310433, 1.779266, 1.199127, 1.199127, 1.651214, 1.779266, 1.979847, 1.428582, 1.416452, 1.416452, 1.428582, 1.416452, 1.416452, 1.428582, 1.762521, 1.199127, 1.428582, 1.428582, 1.979847, 1.416452, 1.428582, 1.428582, 1.416452, 1.215871, 1.416452, 1.199127, 1.416452, 1.428582, 1.762521, 1.428582, 1.199127, 1.310433, 1.215871
handcar, 1.199127, 1.428582, 1.416452, 1.416452, 1.970634, 1.301221, 1.199127, 1.416452, 1.939413, 1.416452, 1.416452, 1.199127, 1.199127, 1.416452, 1.770053, 1.416452, 1.199127, 1.199127, 1.199127, 1.762521, 1.301221, 0.747039, 1.416452, 1.416452, 1.416452, 1.416452, 1.762521, 1.428582, 1.762521, 1.199127, 1.310433, 1.199127, 1.199127, 1.979847, 1.199127, 1.979847, 1.199127, 1.301221, 1.416452, 1.416452, 1.416452, 1.779266, 1.428582, 1.779266, 1.199127, 1.416452, 1.979847, 1.416452, 1.416452, 1.199127, 0.000000, 1.199127, 1.199127, 1.416452, 1.416452, 1.199127, 1.199127, 1.779266, 1.199127, 1.199127, 1.199127, 1.970634, 1.416452, 1.199127, 1.651214, 1.199127, 1.199127, 1.310433, 1.779266, 1.199127, 1.199127, 1.651214, 1.779266, 1.979847, 1.428582, 1.416452, 1.416452, 1.428582, 1.416452, 1.416452, 1.428582, 1.762521, 1.199127, 1.428582, 1.428582, 1.979847, 1.416452, 1.428582, 1.428582, 1.416452, 1.215871, 1.416452, 1.199127, 1.416452, 1.428582, 1.762521, 1.428582, 1.199127, 1.310433, 1.215871
hardtop, 1.199127, 1.199127, 1.215871, 1.215871, 1.770053, 1.301221, 1.199127, 1.215871, 0.747039, 1.215871, 1.215871, 1.199127, 1.199127, 1.215871, 1.770053, 1.215871, 1.199127, 1.199127, 1.199127, 1.762521, 1.301221, 0.747039, 1.215871, 1.215871, 1.215871, 1.215871, 1.762521, 1.428582, 1.667959, 1.199127, 1.310433, 1.199127, 1.199127, 1.779266, 1.199127, 1.779266, 1.199127, 1.301221, 1.215871, 1.215871, 1.215871, 1.779266, 1.428582, 1.770053, 1.199127, 1.215871, 1.779266, 1.215871, 1.215871, 1.199127, 1.199127, 0.000000, 1.199127, 1.215871, 1.215871, 1.199127, 1.199127, 1.779266, 1.199127, 1.199127, 1.199127, 1.770053, 1.215871, 1.199127, 1.651214, 1.199127, 1.199127, 1.310433, 1.779266, 1.199127, 1.199127, 1.651214, 1.779266, 1.779266, 1.199127, 1.215871, 1.215871, 1.199127, 1.215871, 1.215871, 1.199127, 1.762521, 1.199127, 1.199127, 1.199127, 1.779266, 1.215871, 1.199127, 1.199127, 1.215871, 1.215871, 1.215871, 1.199127, 1.215871, 1.199127, 1.762521, 1.199127, 1.199127, 1.310433, 1.215871
hatchback, 1.199127, 1.199127, 1.215871, 1.215871, 1.770053, 1.301221, 1.199127, 1.215871, 0.747039, 1.215871, 1.215871, 1.199127, 1.199127, 1.215871, 1.770053, 1.215871, 1.199127, 1.199127, 1.199127, 1.762521, 1.301221, 0.747039, 0.747039, 1.215871, 1.215871, 1.215871, 1.762521, 1.428582, 1.667959, 1.199127, 1.310433, 1.199127, 1.199127, 1.779266, 1.199127, 1.779266, 1.199127, 1.301221, 1.215871, 1.215871, 1.215871, 1.779266, 1.428582, 1.770053, 1.199127, 1.215871, 1.779266, 1.215871, 1.215871, 1.199127, 1.199127, 1.199127, 0.000000, 1.215871, 1.215871, 1.199127, 1.199127, 1.779266, 1.199127, 1.199127, 1.199127, 1.770053, 1.215871, 1.199127, 1.651214, 1.199127, 1.199127, 1.310433, 1.779266, 1.199127, 1.199127, 1.651214, 1.779266, 1.779266, 1.199127, 1.215871, 1.215871, 1.199127, 1.215871, 1.215871, 1.199127, 1.762521, 1.199127, 1.199127, 1.199127, 1.779266, 1.215871, 1.199127, 1.199127, 1.215871, 1.215871, 1.215871, 1.199127, 1.215871, 1.199127, 1.762521, 1.199127, 1.199127, 1.310433, 1.215871
high gear, 1.006269, 1.175629, 1.192374, 1.192374, 1.746556, 1.108363, 1.006269, 1.192374, 0.723542, 1.192374, 1.192374, 1.006269, 1.006269, 1.192374, 1.577196, 1.192374, 1.006269, 1.006269, 1.006269, 1.569664, 1.108363, 0.554182, 1.192374, 1.192374, 1.192374, 1.192374, 1.569664, 1.235725, 1.569664, 1.006269, 1.117576, 1.006269, 1.006269, 1.755768, 1.006269, 1.755768, 1.006269, 1.108363, 1.192374, 1.192374, 1.192374, 1.586408, 1.235725, 1.586408, 1.006269, 1.192374, 0.563394, 1.192374, 1.192374, 1.006269, 1.006269, 1.006269, 1.006269, 0.000000, 1.192374, 1.006269, 1.006269, 1.586408, 1.006269, 1.006269, 1.006269, 1.746556, 1.192374, 1.006269, 1.458357, 1.006269, 1.006269, 1.117576, 1.586408, 1.006269, 1.006269, 1.458357, 1.586408, 1.755768, 1.175629, 1.192374, 1.192374, 1.175629, 1.192374, 1.192374, 1.175629, 1.569664, 1.006269, 1.175629, 1.175629, 1.755768, 1.192374, 1.175629, 1.175629, 1.192374, 1.023014, 1.192374, 1.006269, 1.192374, 1.175629, 1.569664, 1.175629, 1.006269, 1.117576, 1.023014
hood, 1.006269, 1.175629, 1.192374, 1.192374, 0.554182, 1.108363, 1.006269, 1.192374, 0.723542, 1.192374, 1.192374, 1.006269, 1.006269, 1.192374, 1.117576, 1.192374, 1.006269, 1.006269, 1.006269, 1.569664, 1.108363, 0.554182, 1.192374, 1.192374, 1.192374, 1.192374, 1.569664, 1.235725, 1.569664, 1.006269, 1.117576, 1.006269, 1.006269, 0.563394, 1.006269, 1.755768, 1.006269, 1.108363, 1.192374, 1.192374, 1.192374, 1.586408, 1.235725, 1.586408, 1.006269, 1.192374, 1.755768, 1.192374, 1.192374, 1.006269, 1.006269, 1.006269, 1.006269, 1.192374, 0.000000, 1.006269, 1.006269, 1.586408, 1.006269, 1.006269, 1.006269, 1.746556, 1.192374, 1.006269, 1.458357, 1.006269, 1.006269, 1.117576, 1.586408, 1.006269, 1.006269, 1.458357, 1.586408, 0.563394, 1.175629, 1.192374, 1.192374, 1.175629, 0.563394, 1.192374, 1.175629, 1.569664, 1.006269, 1.175629, 1.175629, 1.755768, 1.192374, 1.175629, 1.175629, 1.015482, 1.023014, 1.192374, 1.006269, 1.192374, 1.175629, 1.117576, 1.175629, 1.006269, 1.117576, 1.023014
horseless carriage, 1.199127, 1.199127, 1.215871, 1.215871, 1.770053, 1.301221, 1.199127, 1.215871, 0.747039, 1.215871, 1.215871, 1.199127, 1.199127, 1.215871, 1.770053, 1.215871, 1.199127, 1.199127, 1.199127, 1.762521, 1.301221, 0.747039, 1.215871, 1.215871, 1.215871, 1.215871, 1.762521, 1.428582, 1.667959, 1.199127, 1.310433, 1.199127, 1.199127, 1.779266, 1.199127, 1.779266, 1.199127, 1.301221, 1.215871, 1.215871, 1.215871, 1.779266, 1.428582, 1.770053, 1.199127, 1.215871, 1.779266, 1.215871, 1.215871, 1.199127, 1.199127, 1.199127, 1.199127, 1.215871, 1.215871, 0.000000, 1.199127, 1.779266, 1.199127, 1.199127, 1.199127, 1.770053, 1.215871, 1.199127, 1.651214, 1.199127, 1.199127, 1.310433, 1.779266, 1.199127, 1.199127, 1.651214, 1.779266, 1.779266, 1.199127, 1.215871, 1.215871, 1.199127, 1.215871, 1.215871, 1.199127, 1.762521, 1.199127, 1.199127, 1.199127, 1.779266, 1.215871, 1.199127, 1.199127, 1.215871, 1.215871, 1.215871, 1.199127, 1.215871, 1.199127, 1.762521, 1.199127, 1.199127, 1.310433, 1.215871
hot rod, 1.199127, 1.199127, 1.215871, 1.215871, 1.770053, 1.301221, 1.199127, 1.215871, 0.747039, 1.215871, 1.215871, 1.199127, 1.199127, 1.215871, 1.770053, 1.215871, 1.199127, 1.199127, 1.199127, 1.762521, 1.301221, 0.747039, 1.215871, 1.215871, 1.215871, 1.215871, 1.762521, 1.428582, 1.667959, 1.199127, 1.310433, 1.199127, 1.199127, 1.779266, 1.199127, 1.779266, 1.199127, 1.301221, 1.215871, 1.215871, 1.215871, 1.779266, 1.428582, 1.770053, 1.199127, 1.215871, 1.779266, 1.215871, 1.215871, 1.199127, 1.199127, 1.199127, 1.199127, 1.215871, 1.215871, 1.199127, 0.000000, 1.779266, 1.199127, 1.199127, 1.199127, 1.770053, 1.215871, 1.199127, 1.651214, 1.199127, 1.199127, 1.310433, 1.779266, 1.199127, 1.199127, 1.651214, 1.779266, 1.779266, 1.199127, 1.215871, 1.215871, 1.199127, 1.215871, 1.215871, 1.199127, 1.762521, 1.199127, 1.199127, 1.199127, 1.779266, 1.215871, 1.199127, 1.199127, 1.215871, 1.215871, 1.215871, 1.199127, 1.215871, 1.199127, 1.762521, 1.199127, 1.199127, 1.310433, 1.215871
internal-combustion engine, 1.687812, 1.857173, 1.861787, 1.873917, 2.415969, 1.789907, 1.687812, 1.873917, 1.405085, 1.873917, 1.873917, 1.687812, 1.687812, 1.873917, 2.258739, 1.845042, 1.687812, 1.392955, 1.687812, 2.251207, 1.789907, 1.235725, 1.873917, 1.873917, 1.873917, 1.873917, 1.956349, 1.917268, 2.251207, 1.687812, 1.799119, 1.687812, 1.687812, 2.408437, 1.687812, 2.437312, 1.687812, 1.789907, 1.873917, 1.873917, 1.873917, 2.267952, 1.917268, 1.192374, 1.687812, 0.681543, 2.437312, 1.873917, 1.873917, 1.687812, 1.687812, 1.687812, 1.687812, 1.873917, 1.873917, 1.687812, 1.687812, 0.000000, 1.687812, 1.687812, 1.687812, 2.428099, 1.873917, 1.687812, 1.845042, 1.687812, 1.687812, 0.723542, 2.267952, 1.687812, 1.687812, 2.139900, 1.192374, 2.408437, 1.857173, 1.873917, 1.873917, 1.857173, 1.845042, 1.873917, 1.857173, 1.286936, 1.687812, 1.857173, 1.857173, 2.408437, 1.845042, 1.857173, 1.857173, 1.873917, 1.392955, 1.873917, 1.687812, 1.873917, 1.857173, 1.175629, 1.857173, 1.687812, 1.799119, 1.704557
jeep, 1.199127, 1.199127, 1.215871, 1.215871, 1.770053, 1.301221, 1.199127, 1.215871, 0.747039, 1.215871, 1.215871, 1.199127, 1.199127, 1.215871, 1.770053, 1.215871, 1.199127, 1.199127, 1.199127, 1.762521, 1.301221, 0.747039, 1.215871, 1.215871, 1.215871, 1.215871, 1.762521, 1.428582, 1.667959, 1.199127, 1.310433, 1.199127, 1.199127, 1.779266, 1.199127, 1.779266, 1.199127, 1.301221, 1.215871, 1.215871, 1.215871, 1.779266, 1.428582, 1.770053, 1.199127, 1.215871, 1.779266, 1.215871, 1.215871, 1.199127, 1.199127, 1.199127, 1.199127, 1.215871, 1.215871, 1.199127, 1.199127, 1.779266, 0.000000, 1.199127, 1.199127, 1.770053, 1.215871, 1.199127, 1.651214, 1.199127, 1.199127, 1.310433, 1.779266, 1.199127, 1.199127, 1.651214, 1.779266, 1.779266, 1.199127, 1.215871, 1.215871, 1.199127, 1.215871, 1.215871, 1.199127, 1.762521, 1.199127, 1.199127, 1.199127, 1.779266, 1.215871, 1.199127, 1.199127, 1.215871, 1.215871, 1.215871, 1.199127, 1.215871, 1.199127, 1.762521, 1.199127, 1.199127, 1.310433, 1.215871
limousine, 1.199127, 1.199127, 1.215871, 1.215871, 1.770053, 1.301221, 1.199127, 1.215871, 0.747039, 1.215871, 1.215871, 1.199127, 1.199127, 1.215871, 1.770053, 1.215871, 1.199127, 1.199127, 1.199127, 1.762521, 1.301221, 0.747039, 1.215871, 1.215871, 1.215871, 1.215871, 1.762521, 1.428582, 1.667959, 1.199127, 1.310433, 1.199127, 1.199127, 1.779266, 1.199127, 1.779266, 1.199127, 1.301221, 1.215871, 1.215871, 1.215871, 1.779266, 1.428582, 1.770053, 1.199127, 1.215871, 1.779266, 1.215871, 1.215871, 1.199127, 1.199127, 1.199127, 1.199127, 1.215871, 1.215871, 1.199127, 1.199127, 1.779266, 1.199127, 0.000000, 1.199127, 1.770053, 1.215871, 1.199127, 1.651214, 1.199127, 1.199127, 1.310433, 1.779266, 1.199127, 1.199127, 1.651214, 1.779266, 1.779266, 1.199127, 1.215871, 1.215871, 1.199127, 1.215871, 1.215871, 1.199127, 1.762521, 1.199127, 1.199127, 1.199127, 1.779266, 1.215871, 1.199127, 1.199127, 1.215871, 1.215871, 1.215871, 1.199127, 1.215871, 1.199127, 1.762521, 1.199127, 1.199127, 1.310433, 1.215871
loaner, 1.199127, 1.199127, 1.215871, 1.215871, 1.770053, 1.301221, 1.199127, 1.215871, 0.747039, 1.215871, 1.215871, 1.199127, 1.199127, 1.215871, 1.770053, 1.215871, 1.199127, 1.199127, 1.199127, 1.762521, 1.301221, 0.747039, 1.215871, 1.215871, 1.215871, 1.215871, 1.762521, 1.428582, 1.667959, 1.199127, 1.310433, 1.199127, 1.199127, 1.779266, 1.199127, 1.779266, 1.199127, 1.301221, 1.215871, 1.215871, 1.215871, 1.779266, 1.428582, 1.770053, 1.199127, 1.215871, 1.779266, 1.215871, 1.215871, 1.199127, 1.199127, 1.199127, 1.199127, 1.215871, 1.215871, 1.199127, 1.199127, 1.779266, 1.199127, 1.199127, 0.000000, 1.770053, 1.215871, 1.199127, 1.651214, 1.199127, 1.199127, 1.310433, 1.779266, 1.199127, 1.199127, 1.651214, 1.779266, 1.779266, 1.199127, 1.215871, 1.215871, 1.199127, 1.215871, 1.215871, 1.199127, 1.762521, 1.199127, 1.199127, 1.199127, 1.779266, 1.215871, 1.199127, 1.199127, 1.215871, 1.215871, 1.215871, 1.199127, 1.215871, 1.199127, 1.762521, 1.199127, 1.199127, 1.310433, 1.215871
locomotive, 1.675682, 1.845042, 1.861787, 1.861787, 2.415969, 1.777776, 1.675682, 1.861787, 1.392955, 1.861787, 1.861787, 1.675682, 1.675682, 0.669413, 2.246609, 1.861787, 1.675682, 1.675682, 1.675682, 2.239077, 1.777776, 1.223595, 1.861787, 1.861787, 1.861787, 1.861787, 2.239077, 1.905138, 2.239077, 1.675682, 1.786989, 1.675682, 1.675682, 2.425182, 1.675682, 1.232807, 1.675682, 1.777776, 0.669413, 1.861787, 1.861787, 1.232807, 1.905138, 2.255822, 1.675682, 1.861787, 2.425182, 1.861787, 1.861787, 1.675682, 1.675682, 1.675682, 1.675682, 1.861787, 1.861787, 1.675682, 1.675682, 2.255822, 1.675682, 1.675682, 1.675682, 0.000000, 1.861787, 1.675682, 2.127770, 1.675682, 1.675682, 1.786989, 2.255822, 1.675682, 1.675682, 2.127770, 2.255822, 2.425182, 1.845042, 1.861787, 1.861787, 1.845042, 1.861787, 1.861787, 1.845042, 2.239077, 1.675682, 1.845042, 1.845042, 2.425182, 1.861787, 1.845042, 1.845042, 1.861787, 1.692427, 1.861787, 1.675682, 1.861787, 1.845042, 2.239077, 1.845042, 1.675682, 1.786989, 1.692427
luggage compartment, 1.006269, 1.175629, 1.192374, 1.192374, 1.746556, 1.108363, 1.006269, 1.192374, 0.723542, 1.192374, 1.192374, 1.006269, 1.006269, 1.192374, 1.577196, 1.192374, 1.006269, 1.006269, 1.006269, 1.015482, 1.108363, 0.554182, 1.192374, 1.192374, 1.192374, 1.192374, 1.569664, 1.235725, 1.015482, 1.006269, 0.563394, 1.006269, 1.006269, 1.755768, 1.006269, 1.755768, 1.006269, 1.108363, 1.192374, 1.192374, 1.192374, 1.586408, 1.235725, 1.586408, 1.006269, 1.192374, 1.755768, 1.192374, 1.192374, 1.006269, 1.006269, 1.006269, 1.006269, 1.192374, 1.192374, 1.006269, 1.006269, 1.586408, 1.006269, 1.006269, 1.006269, 1.746556, 0.000000, 1.006269, 1.458357, 1.006269, 1.006269, 1.117576, 1.586408, 1.006269, 1.006269, 1.458357, 1.586408, 1.755768, 1.175629, 1.192374, 1.192374, 1.175629, 1.192374, 1.192374, 1.175629, 1.569664, 1.006269, 1.175629, 1.175629, 1.755768, 1.192374, 1.175629, 1.175629, 1.192374, 1.023014, 1.192374, 1.006269, 1.192374, 1.175629, 1.569664, 1.175629, 1.006269, 1.117576, 1.023014
mail car, 1.199127, 1.428582, 1.416452, 1.416452, 1.970634, 1.301221, 1.199127, 1.416452, 1.939413, 1.416452, 1.416452, 1.199127, 1.199127, 1.416452, 1.770053, 1.416452, 1.199127, 1.199127, 1.199127, 1.762521, 1.301221, 0.747039, 1.416452, 1.416452, 1.416452, 1.416452, 1.762521, 1.428582, 1.762521, 1.199127, 1.310433, 1.199127, 1.199127, 1.979847, 1.199127, 1.979847, 1.199127, 1.301221, 1.416452, 1.416452, 1.416452, 1.779266, 1.428582, 1.779266, 1.199127, 1.416452, 1.979847, 1.416452, 1.416452, 1.199127, 1.199127, 1.199127, 1.199127, 1.416452, 1.416452, 1.199127, 1.199127, 1.779266, 1.199127, 1.199127, 1.199127, 1.970634, 1.416452, 0.000000, 1.651214, 1.199127, 1.199127, 1.310433, 1.779266, 1.199127, 1.199127, 1.651214, 1.779266, 1.979847, 1.428582, 1.416452, 1.416452, 1.428582, 1.416452, 1.416452, 1.428582, 1.762521, 1.199127, 1.428582, 1.428582, 1.979847, 1.416452, 1.428582, 1.428582, 1.416452, 1.215871, 1.416452, 1.199127, 1.416452, 1.428582, 1.762521, 1.428582, 1.199127, 1.310433, 1.215871
minicab, 1.946166, 1.946166, 1.962911, 1.962911, 2.517092, 2.048260, 1.946166, 1.962911, 1.494078, 1.962911, 1.962911, 1.946166, 1.946166, 1.962911, 2.517092, 1.962911, 1.946166, 0.747039, 1.946166, 1.762521, 2.048260, 1.494078, 1.962911, 1.962911, 1.962911, 1.962911, 1.310433, 2.175621, 1.762521, 1.946166, 1.310433, 1.946166, 1.946166, 2.526305, 1.946166, 2.526305, 1.946166, 2.048260, 1.962911, 1.962911, 1.962911, 2.526305, 2.175621, 1.770053, 1.946166, 1.962911, 2.526305, 1.962911, 1.962911, 1.946166, 1.946166, 1.946166, 1.946166, 1.962911, 1.962911, 1.946166, 1.946166, 1.770053, 1.946166, 1.946166, 1.946166, 2.517092, 1.962911, 1.946166, 0.000000, 0.747039, 1.946166, 1.301221, 2.526305, 1.946166, 1.946166, 2.398253, 1.770053, 2.526305, 1.946166, 1.962911, 1.962911, 1.946166, 1.962911, 1.962911, 1.946166, 1.864615, 1.946166, 1.946166, 1.946166, 2.526305, 1.962911, 1.946166, 1.946166, 1.962911, 1.962911, 1.962911, 1.946166, 1.962911, 1.946166, 1.753308, 1.946166, 1.946166, 2.057473, 1.962911
